DATE,CUUR0000SAM1
1947-03-01,36.100
1947-04-01,.
1947-05-01,.
1947-06-01,36.600
1947-07-01,.
1947-08-01,.
1947-09-01,37.200
1947-10-01,.
1947-11-01,37.600
1947-12-01,37.800
1948-01-01,.
1948-02-01,.
1948-03-01,38.400
1948-04-01,.
1948-05-01,.
1948-06-01,38.600
1948-07-01,.
1948-08-01,.
1948-09-01,38.800
1948-10-01,.
1948-11-01,.
1948-12-01,39.000
1949-01-01,.
1949-02-01,.
1949-03-01,39.000
1949-04-01,.
1949-05-01,.
1949-06-01,39.200
1949-07-01,.
1949-08-01,.
1949-09-01,39.300
1949-10-01,.
1949-11-01,.
1949-12-01,39.300
1950-01-01,.
1950-02-01,.
1950-03-01,39.300
1950-04-01,.
1950-05-01,.
1950-06-01,39.400
1950-07-01,.
1950-08-01,.
1950-09-01,40.000
1950-10-01,.
1950-11-01,.
1950-12-01,40.400
1951-01-01,.
1951-02-01,.
1951-03-01,40.700
1951-04-01,.
1951-05-01,.
1951-06-01,40.800
1951-07-01,.
1951-08-01,.
1951-09-01,41.100
1951-10-01,.
1951-11-01,.
1951-12-01,41.000
1952-01-01,.
1952-02-01,.
1952-03-01,41.100
1952-04-01,.
1952-05-01,.
1952-06-01,41.100
1952-07-01,.
1952-08-01,.
1952-09-01,41.200
1952-10-01,.
1952-11-01,.
1952-12-01,41.400
1953-01-01,.
1953-02-01,.
1953-03-01,41.200
1953-04-01,.
1953-05-01,.
1953-06-01,41.700
1953-07-01,.
1953-08-01,.
1953-09-01,41.700
1953-10-01,.
1953-11-01,.
1953-12-01,41.900
1954-01-01,.
1954-02-01,.
1954-03-01,41.600
1954-04-01,.
1954-05-01,.
1954-06-01,42.100
1954-07-01,.
1954-08-01,.
1954-09-01,42.200
1954-10-01,.
1954-11-01,.
1954-12-01,42.300
1955-01-01,.
1955-02-01,.
1955-03-01,42.000
1955-04-01,.
1955-05-01,.
1955-06-01,42.400
1955-07-01,.
1955-08-01,.
1955-09-01,42.500
1955-10-01,.
1955-11-01,.
1955-12-01,43.300
1956-01-01,.
1956-02-01,.
1956-03-01,43.300
1956-04-01,.
1956-05-01,.
1956-06-01,43.300
1956-07-01,.
1956-08-01,.
1956-09-01,43.600
1956-10-01,.
1956-11-01,.
1956-12-01,43.700
1957-01-01,.
1957-02-01,.
